Last permanent residence,Total Europe,Great Britain (3),France,Germany,Netherlands,Greece,Italy,Portugal,Other Europe (4),Poland,Total Asia,India,Hong Kong,Vietnam,Philippines,Other Asia,Australasia,"Total United States, West Indies",United States,West Indies (5),All other countries,Africa,Other North and Central America,South America
Q1 1958,16869,5213,310,1597,560,1191,4834,364,2800,0,764,0,0,0,0,0,410,2341,2186,155,859,0,0,0
Q2 1958,40105,10768,1165,6557,4357,1379,8565,570,6744,0,1207,0,0,0,0,0,1094,2754,2514,240,1341,0,0,0
Q3 1958,25852,6151,811,3598,1768,1320,6543,438,5223,0,1268,0,0,0,0,0,502,3718,3343,375,1047,0,0,0
Q4 1958,19226,3871,441,2136,735,1300,7101,566,3076,0,1211,0,0,0,0,0,338,3225,2803,422,720,0,0,0
Q1 1959,12972,2379,298,908,477,655,5679,490,2086,0,1024,0,0,0,0,0,173,2313,2098,215,473,0,0,0
Q2 1959,33999,8345,752,4747,2793,1682,8991,1216,5473,0,1461,0,0,0,0,0,599,3114,2826,288,961,0,0,0
Q3 1959,21104,5049,656,3001,1650,1218,5519,1431,2580,0,1780,0,0,0,0,0,460,3994,3660,334,928,0,0,0
Q4 1959,16225,3264,447,1767,323,1312,5466,943,2703,0,1343,0,0,0,0,0,280,3113,2754,359,612,0,0,0
Q1 1960,12395,2752,245,1030,504,981,4060,1058,1765,0,1071,0,0,0,0,0,246,2293,2118,175,594,0,0,0
Q2 1960,35788,9393,1115,5285,3608,1357,7565,2099,5366,0,1069,0,0,0,0,0,779,2808,2506,302,998,0,0,0
Q3 1960,19208,4894,1022,2787,1046,1373,4427,983,2676,0,1001,0,0,0,0,0,375,4357,3876,481,861,0,0,0
Q4 1960,15315,3345,562,1672,271,1145,4629,883,2808,0,1077,0,0,0,0,0,257,2957,2747,210,662,0,0,0
Q1 1961,8084,1586,253,764,233,582,2714,626,1326,0,708,0,0,0,0,0,294,2197,2023,174,556,0,0,0
Q2 1961,19726,4792,840,3029,993,906,4600,957,3609,0,735,0,0,0,0,0,533,3071,2661,410,878,0,0,0
Q3 1961,13019,3493,745,1389,392,1080,3539,519,1862,0,784,0,0,0,0,0,373,4418,4104,314,792,0,0,0
Q4 1961,11108,2414,492,1049,169,1198,3308,660,1818,0,660,0,0,0,0,0,232,2956,2728,228,565,0,0,0
Q1 1962,8436,1752,285,736,161,738,2999,554,1211,0,463,0,0,0,0,0,290,2187,2003,184,386,0,0,0
Q2 1962,17758,5426,915,2243,804,991,3619,1066,2694,0,509,0,0,0,0,0,412,3020,2630,390,600,0,0,0
Q3 1962,14808,5005,948,1436,360,985,3570,669,1835,0,838,0,0,0,0,0,422,4831,4189,642,1608,0,0,0
Q4 1962,12648,3872,526,1133,230,1027,3453,639,1768,0,923,0,0,0,0,0,260,3191,2821,370,996,0,0,0
Q1 1963,9296,2894,341,803,231,579,2440,891,1117,0,746,0,0,0,0,0,331,2250,1942,308,787,0,0,0
Q2 1963,22982,8767,1164,2696,873,1611,4386,837,2648,0,835,0,0,0,0,0,438,2884,2423,461,895,0,0,0
Q3 1963,19539,7899,1345,1871,448,1147,3489,930,2410,0,1160,0,0,0,0,0,472,5223,4361,862,1506,0,0,0
Q4 1963,17079,5633,719,1374,176,1422,4112,1342,2301,0,1171,0,0,0,0,0,451,3776,3010,766,1330,0,0,0
Q1 1964,12657,3915,396,849,257,797,3706,1058,1679,0,867,0,0,0,0,0,460,2568,2129,439,994,0,0,0
Q2 1964,26824,10332,1473,2110,911,1231,5571,1701,3495,0,1646,0,0,0,0,0,497,3166,2752,414,1644,0,0,0
Q3 1964,23134,9005,1851,1764,579,1081,4915,1057,2882,0,1958,0,0,0,0,0,786,5346,4565,781,2119,0,0,0
Q4 1964,19778,6707,822,1269,282,1282,5105,1493,2818,0,2055,0,0,0,0,0,562,3684,3119,565,1861,0,0,0
Q1 1965,15637,4819,681,1249,338,711,4828,1015,1996,0,2020,0,0,0,0,0,549,2917,2415,502,1156,0,0,0
Q2 1965,31852,12266,1510,3205,1183,1111,7639,1542,3396,0,2749,0,0,0,0,0,689,3820,3214,606,1509,0,0,0
Q3 1965,31818,12680,1841,2652,613,1806,7200,1576,3450,0,3784,0,0,0,0,0,888,6897,5898,999,2124,0,0,0
Q4 1965,28509,10953,1193,1821,485,2014,6731,1601,3711,0,3131,0,0,0,0,0,585,4604,3616,988,1520,0,0,0
