Last permanent residence,Total Europe,Great Britain (3),France,Germany,Netherlands,Greece,Italy,Portugal,Other Europe (4),Poland,Total Asia,India,Hong Kong,Vietnam,Philippines,Other Asia,Australasia,"Total United States, West Indies",United States,West Indies (5),All other countries,Africa,Other North and Central America,South America
Q1 1955,13775,4270,343,1921,1058,521,4296,21,1345,0,747,0,0,0,0,0,406,2148,2062,86,551,0,0,0
Q2 1955,35678,12329,1102,5744,3378,778,7121,984,4242,0,1062,0,0,0,0,0,524,2753,2572,181,773,0,0,0
Q3 1955,22660,7877,771,5700,1796,570,3168,37,2741,0,892,0,0,0,0,0,391,3526,3268,258,721,0,0,0
Q4 1955,18658,5944,653,4265,527,987,4554,94,1634,0,961,0,0,0,0,0,379,2761,2493,268,580,0,0,0
Q1 1956,15293,4862,369,2233,1039,687,4005,256,1842,0,863,0,0,0,0,0,331,2035,1915,120,441,0,0,0
Q2 1956,46079,18085,1157,7629,3493,1327,7582,959,5847,0,955,0,0,0,0,0,625,2552,2265,287,750,0,0,0
Q3 1956,34909,12437,943,6779,2146,875,6809,246,4674,0,944,0,0,0,0,0,487,2934,2679,255,811,0,0,0
Q4 1956,49273,17235,1340,9420,1114,2097,9543,236,8288,0,775,0,0,0,0,0,481,3314,2918,396,1005,0,0,0
Q1 1957,57936,23494,982,4417,1706,1257,7105,576,18399,0,576,0,0,0,0,0,447,2200,2071,129,1301,0,0,0
Q2 1957,113075,51265,2437,11168,5929,1081,11130,3129,26936,0,951,0,0,0,0,0,1502,2756,2461,295,1672,0,0,0
Q3 1957,54508,25670,1685,7775,3558,1680,4485,328,9327,0,883,0,0,0,0,0,888,3948,3557,391,1623,0,0,0
Q4 1957,31892,13918,765,5070,741,1442,5020,390,4546,0,961,0,0,0,0,0,508,3266,2919,347,1271,0,0,0
